25,27,73,25,48,16,12,70,44
33,56,24,41,61,42,56,31,25
52,0,60,61,61,83,30,73,85
80,98,6,95,12,72,75,68,3
75,19,42,69,15,7,97,57,66
81,37,78,56,93,10,39,14,41
35,64,29,76,95,71,66,24,13
36,34,34,37,41,57,77,23,13
50,52,68,21,49,20,93,4,88
46,54,88,96,6,17,75,9,14
39,23,67,99,88,2,5,64,93
48,0,64,24,65,25,35,58,68
16,83,53,84,60,29,1,96,17
84,70,45,35,8,58,96,97,63
82,87,45,25,19,90,76,7,79
90,19,33,61,67,23,59,7,48
10,54,36,56,48,64,34,68,30
73,11,55,77,71,42,94,79,22
33,4,89,92,79,91,39,68,73
30,9,78,98,29,55,7,63,70
95,60,5,43,6,7,80,36,13
57,2,57,44,36,50,7,22,45
1,1,61,91,54,23,90,38,82
88,26,21,89,93,65,18,63,49
61,38,10,44,99,89,72,55,99
74,42,90,19,27,98,38,31,4
59,72,8,28,39,22,22,43,12
41,62,70,76,73,29,30,27,18
20,86,22,31,84,76,6,10,49
7,75,1,59,76,47,90,17,16
21,4,11,25,77,58,87,19,10
82,41,52,74,65,18,99,54,28
66,34,73,74,75,10,21,40,85
33,82,46,12,88,88,58,3,61
42,39,98,69,94,85,38,31,6
68,80,42,48,6,2,14,15,61
79,54,35,93,66,15,93,24,20
49,90,37,56,4,44,19,45,34
35,43,24,94,78,65,4,25,29
78,41,38,31,6,44,91,90,41
11,45,41,38,50,56,22,26,63
96,93,34,49,45,47,25,94,39
19,15,34,30,46,33,92,44,43
79,92,42,81,48,97,14,6,89
82,64,23,55,61,46,64,28,49
21,56,23,79,17,54,48,80,97
3,12,74,39,59,87,59,90,98
65,97,69,52,4,20,27,61,50
16,65,13,52,10,82,56,86,92
9,3,97,12,46,74,98,33,65
84,42,24,22,29,49,54,60,57
67,67,12,98,28,32,13,67,39
12,47,37,27,99,12,2,27,24
59,40,14,82,22,76,63,11,86
16,23,7,97,54,58,52,93,93
61,19,94,91,92,99,94,22,4
34,14,18,87,48,62,52,11,16
69,4,76,84,39,21,33,32,99
31,73,8,3,26,53,69,12,51
60,19,23,25,87,50,44,56,78
79,56,10,51,82,80,95,79,63
94,27,93,28,31,32,31,99,77
7,10,86,93,80,0,31,43,73
87,63,91,94,0,98,17,90,3
43,89,27,99,84,90,67,61,2
43,82,37,60,18,73,47,14,80
7,31,54,51,66,73,1,49,56
65,8,53,83,15,65,29,29,44
36,58,57,31,76,80,70,19,79
47,81,13,4,45,38,44,20,57
26,20,67,49,26,39,97,97,20
